HandA,HandA_no,HandB,HandB_no,Hand1_Wins,Ties,Hand2_Wins
T9s,57,8Ko,79,0.467511624098,0.00653125857934,0.525957107544
T9s,57,8Qo,80,0.457697480917,0.00901519227773,0.533287286758
T9s,57,8Jo,81,0.447883367538,0.012962651439,0.53915399313
T9s,57,8To,82,0.634135425091,0.147948220372,0.217916324735
T9s,57,89o,83,0.698789060116,0.0682877153158,0.232923209667
T9s,57,88o,84,0.486583381891,0.00501332338899,0.508403301239
T9s,57,87s,85,0.635798633099,0.0173805300146,0.346820861101
T9s,57,86s,86,0.64298671484,0.0173352696002,0.339677989483
T9s,57,85s,87,0.651875495911,0.0177785307169,0.330345988274
T9s,57,84s,88,0.663488805294,0.0177855398506,0.318725675344
T9s,57,83s,89,0.67583411932,0.0177925471216,0.306373327971
T9s,57,82s,90,0.676307201385,0.0177995562553,0.305893272161
T9s,57,7Ao,91,0.471125900745,0.0041321516037,0.524741947651
T9s,57,7Ko,92,0.470217466354,0.00641591660678,0.523366630077
T9s,57,7Qo,93,0.470861911774,0.00895722955465,0.520180821419
T9s,57,7Jo,94,0.461047798395,0.0129046887159,0.52604752779
T9s,57,7To,95,0.637233197689,0.145747870207,0.217018902302
T9s,57,79o,96,0.700033783913,0.0684601962566,0.23150600493
T9s,57,78o,97,0.664356648922,0.017606832087,0.318036556244
T9s,57,77o,98,0.495809942484,0.00583541253582,0.498354643583
T9s,57,76s,99,0.628007233143,0.0169448591769,0.355047941208
T9s,57,75s,100,0.636895954609,0.0173894353211,0.345714598894
T9s,57,74s,101,0.648125588894,0.0173964444548,0.334477990866
T9s,57,73s,102,0.659982383251,0.0174034517258,0.32261416316
T9s,57,72s,103,0.672567605972,0.01749981381,0.309932559729
T9s,57,6Ao,104,0.477443397045,0.00423099519685,0.51832562685
T9s,57,6Ko,105,0.475711524487,0.00638686260208,0.517901599407
T9s,57,6Qo,106,0.473979651928,0.00885064806789,0.517169713974
T9s,57,6Jo,107,0.474212378263,0.012855486013,0.512932121754
T9s,57,6To,108,0.638602137566,0.145945459604,0.21545240283
T9s,57,69o,109,0.703910052776,0.069314211607,0.226775735617
T9s,57,68o,110,0.671940565109,0.0175576303154,0.310501813889
T9s,57,67o,111,0.656443178654,0.0171574372798,0.326399415731
T9s,57,66o,112,0.505683541298,0.00707117421553,0.487245261669
T9s,57,65s,113,0.626680493355,0.0173062141985,0.356013298035
T9s,57,64s,114,0.635522544384,0.0173158496618,0.347161620855
T9s,57,63s,115,0.644762277603,0.0173228587955,0.33791488409
T9s,57,62s,116,0.657347500324,0.0174192208797,0.325233280659
T9s,57,5Ao,117,0.480178743601,0.00464447308332,0.515176773071
T9s,57,5Ko,118,0.483859747648,0.00689494982362,0.509245276451
T9s,57,5Qo,119,0.48212787509,0.00935873575509,0.508513391018
T9s,57,5Jo,120,0.480396002531,0.0132860457525,0.506317973137
T9s,57,5To,121,0.641775071621,0.147725909948,0.210499033332
T9s,57,59o,122,0.718586742878,0.0709142014384,0.210499033332
T9s,57,58o,123,0.681257963181,0.0180455688387,0.300696462393
T9s,57,57o,124,0.665760576725,0.0176453776658,0.316594034433
T9s,57,56o,125,0.655337929726,0.0175707694143,0.327091306448
T9s,57,55o,126,0.518852353096,0.00925614498556,0.471891492605
T9s,57,54s,127,0.630761802197,0.0176299009472,0.351608276367
T9s,57,53s,128,0.631175756454,0.0176412891597,0.351182967424
T9s,57,52s,129,0.643760979176,0.0177376512438,0.338501363993
T9s,57,4Ao,130,0.480178743601,0.00470623187721,0.515115022659
T9s,57,4Ko,131,0.483859747648,0.00695670861751,0.509183526039
T9s,57,4Qo,132,0.48212787509,0.00942049454898,0.508451640606
T9s,57,4Jo,133,0.480396002531,0.0133478054777,0.50625616312
T9s,57,4To,134,0.642183840275,0.148536130786,0.209280014038
T9s,57,49o,135,0.719412565231,0.0713074281812,0.209280014038
T9s,57,48o,136,0.693578660488,0.0181073285639,0.288314014673
T9s,57,47o,137,0.677669525146,0.0177071355283,0.3046233356
T9s,57,46o,138,0.664699435234,0.0176325291395,0.317668050528
T9s,57,45o,139,0.659939169884,0.0179671663791,0.3220936656
T9s,57,44o,140,0.521403312683,0.0113961463794,0.467200517654
T9s,57,43s,141,0.631589651108,0.0176964774728,0.350713849068
T9s,57,42s,142,0.644174873829,0.0177994091064,0.338025689125
T9s,57,3Ao,143,0.480178743601,0.00480478350073,0.515016436577
T9s,57,3Ko,144,0.483859747648,0.00705526024103,0.509084999561
T9s,57,3Qo,145,0.48212787509,0.00951904524118,0.508353054523
T9s,57,3Jo,146,0.480396002531,0.0134463561699,0.506157636642
T9s,57,3To,147,0.642592668533,0.149438604712,0.207968711853
T9s,57,39o,148,0.720297932625,0.0717333704233,0.207968711853
T9s,57,38o,149,0.706554591656,0.0182058792561,0.275239527225
T9s,57,37o,150,0.690124213696,0.0178056880832,0.292070060968
T9s,57,36o,151,0.67436927557,0.0177310798317,0.307899624109
T9s,57,35o,152,0.660353124142,0.0180657170713,0.321581184864
T9s,57,34o,153,0.660767018795,0.0181274767965,0.321105509996
T9s,57,33o,154,0.524269640446,0.0139332739636,0.461797088385
T9s,57,32s,155,0.644647955894,0.0178795643151,0.337472498417
T9s,57,2Ao,156,0.481008350849,0.00508087361231,0.513910770416
T9s,57,2Ko,157,0.484689354897,0.00733134988695,0.507979333401
T9s,57,2Qo,158,0.482957452536,0.00979513581842,0.507247388363
T9s,57,2Jo,159,0.481225579977,0.0137224467471,0.505051970482
T9s,57,2To,160,0.646583795547,0.150570616126,0.202845603228
T9s,57,29o,161,0.724825143814,0.0723292529583,0.202845603228
T9s,57,28o,162,0.707033753395,0.0183540713042,0.274612158537
T9s,57,27o,163,0.703346788883,0.0180484894663,0.278604745865
T9s,57,26o,164,0.687591850758,0.0179738812149,0.294434279203
T9s,57,25o,165,0.673575639725,0.0183085184544,0.308115839958
T9s,57,24o,166,0.673989534378,0.0183702781796,0.307640165091
T9s,57,23o,167,0.674462616444,0.0184688288718,0.307068586349
T9s,57,22o,168,0.528280198574,0.0171556379646,0.454564154148
T8s,58,T7s,59,0.553918004036,0.187398388982,0.258683621883
T8s,58,T6s,60,0.557631134987,0.184304311872,0.258064568043
T8s,58,T5s,61,0.558522880077,0.184701427817,0.256775677204
T8s,58,T4s,62,0.558845281601,0.185526639223,0.255628079176
T8s,58,T3s,63,0.562836408615,0.186487331986,0.2506762743
T8s,58,T2s,64,0.563158750534,0.187428757548,0.249412491918
T8s,58,9Ao,65,0.42862072587,0.00416821427643,0.567211031914
T8s,58,9Ko,66,0.4171423316,0.00652556447312,0.576332092285
T8s,58,9Qo,67,0.405301123857,0.00900949817151,0.585689365864
T8s,58,9Jo,68,0.393379330635,0.0130160879344,0.593604564667
T8s,58,9To,69,0.269038081169,0.147791326046,0.583170592785
T8s,58,99o,70,0.329086244106,0.00510929524899,0.665804445744
T8s,58,98s,71,0.654929280281,0.0654544979334,0.279616236687
T8s,58,97s,72,0.613820493221,0.0186669547111,0.367512583733
T8s,58,96s,73,0.622665584087,0.0186212547123,0.358713179827
T8s,58,95s,74,0.63116145134,0.0190645176917,0.349774032831
T8s,58,94s,75,0.642774760723,0.0190715249628,0.338153749704
T8s,58,93s,76,0.644313752651,0.0190785340965,0.336607724428
T8s,58,92s,77,0.644786775112,0.0190859809518,0.336127221584
T8s,58,8Ao,78,0.31994125247,0.02174516581,0.658313572407
T8s,58,8Ko,79,0.320351600647,0.0292204730213,0.650427937508
T8s,58,8Qo,80,0.304790496826,0.0387754365802,0.656434059143
T8s,58,8Jo,81,0.289229393005,0.0513832047582,0.659387409687
T8s,58,8To,82,0.0715760737658,0.906691193581,0.0217327065766
T8s,58,89o,83,0.693339109421,0.0675688013434,0.239092081785
T8s,58,88o,84,0.369683176279,0.0211317613721,0.609185039997
T8s,58,87s,85,0.645105063915,0.0690233707428,0.285871565342
T8s,58,86s,86,0.648412883282,0.0697107538581,0.28187635541
T8s,58,85s,87,0.661696732044,0.071074411273,0.267228841782
T8s,58,84s,88,0.662504434586,0.0714143067598,0.266081243753
T8s,58,83s,89,0.676710426807,0.072615608573,0.250673949718
T8s,58,82s,90,0.67763376236,0.0729555040598,0.249410733581
T8s,58,7Ao,91,0.459149181843,0.00405637687072,0.536794424057
T8s,58,7Ko,92,0.456702500582,0.00641066068783,0.536886870861
T8s,58,7Qo,93,0.457346946001,0.00895197317004,0.533701062202
T8s,58,7Jo,94,0.447532832623,0.0129585638642,0.539508581161
T8s,58,7To,95,0.585024058819,0.198794916272,0.21618103981
T8s,58,79o,96,0.641967356205,0.0189534109086,0.339079260826
T8s,58,78o,97,0.682882606983,0.0714440867305,0.245673269033
T8s,58,77o,98,0.483735948801,0.00611962983385,0.510144412518
T8s,58,76s,99,0.623848319054,0.0180687829852,0.358082890511
T8s,58,75s,100,0.632434844971,0.0185133591294,0.349051773548
T8s,58,74s,101,0.643664479256,0.0185203682631,0.33781516552
T8s,58,73s,102,0.657397270203,0.0185970198363,0.324005693197
T8s,58,72s,103,0.669801771641,0.0186040271074,0.311594188213
T8s,58,6Ao,104,0.465466558933,0.00415521999821,0.530378222466
T8s,58,6Ko,105,0.462196409702,0.00638160621747,0.531422019005
T8s,58,6Qo,106,0.460464537144,0.00884539168328,0.530690073967
T8s,58,6Jo,107,0.460697263479,0.0129093611613,0.526393413544
T8s,58,6To,108,0.589322149754,0.195543348789,0.215134501457
T8s,58,69o,109,0.651255846024,0.0189042072743,0.329839944839
T8s,58,68o,110,0.686758697033,0.0722981020808,0.240943193436
T8s,58,67o,111,0.652048945427,0.0183485224843,0.329602539539
T8s,58,66o,112,0.493609398603,0.00735539151356,0.499035209417
T8s,58,65s,113,0.619602322578,0.0184301380068,0.361967563629
T8s,58,64s,114,0.628444314003,0.0184397753328,0.35311588645
T8s,58,63s,115,0.642177164555,0.0185164250433,0.339306414127
T8s,58,62s,116,0.65409308672,0.018523434177,0.327383458614
T8s,58,5Ao,117,0.467784047127,0.00456869788468,0.527647256851
T8s,58,5Ko,118,0.469926774502,0.00688969343901,0.523183524609
T8s,58,5Qo,119,0.468194901943,0.00935347937047,0.522451639175
T8s,58,5Jo,120,0.466463029385,0.0133399209008,0.520197033882
T8s,58,5To,121,0.590575218201,0.196071684361,0.213353082538
T8s,58,59o,122,0.660164177418,0.0193921457976,0.320443689823
T8s,58,58o,123,0.701427221298,0.0738980919123,0.224674671888
T8s,58,57o,124,0.661049246788,0.0188364628702,0.320114314556
T8s,58,56o,125,0.647841572762,0.0187618546188,0.333396553993
T8s,58,55o,126,0.506359636784,0.00954036228359,0.484099984169
T8s,58,54s,127,0.614857792854,0.0187538247555,0.366388350725
T8s,58,53s,128,0.628590643406,0.0188348572701,0.352574527264
T8s,58,52s,129,0.637889504433,0.0188418645412,0.343268632889
T8s,58,4Ao,130,0.467784047127,0.00463045714423,0.527585506439
T8s,58,4Ko,131,0.469926774502,0.00695145269856,0.523121774197
T8s,58,4Qo,132,0.468194901943,0.00941523816437,0.522389888763
T8s,58,4Jo,133,0.466463029385,0.0134016796947,0.52013528347
T8s,58,4To,134,0.590902268887,0.19696366787,0.212134063244
T8s,58,49o,135,0.672484874725,0.0194539055228,0.308061242104
T8s,58,48o,136,0.702253043652,0.0742913261056,0.223455652595
T8s,58,47o,137,0.67295819521,0.0188982207328,0.30814358592
T8s,58,46o,138,0.65720307827,0.018823614344,0.323973298073
T8s,58,45o,139,0.643180787563,0.0191582515836,0.337660968304
T8s,58,44o,140,0.508910596371,0.0116803636774,0.479409039021
T8s,58,43s,141,0.629004538059,0.0188900455832,0.352105408907
T8s,58,42s,142,0.638303399086,0.0189036242664,0.342792958021
T8s,58,3Ao,143,0.471924245358,0.00482974993065,0.523245990276
T8s,58,3Ko,144,0.474066972733,0.00715074548498,0.518782317638
T8s,58,3Qo,145,0.472335070372,0.00961453095078,0.518050372601
T8s,58,3Jo,146,0.470603197813,0.0136009724811,0.515795826912
T8s,58,3To,147,0.595343828201,0.19804777205,0.206608369946
T8s,58,39o,148,0.674206793308,0.019552456215,0.306240737438
T8s,58,38o,149,0.717634618282,0.0757587403059,0.206606611609
T8s,58,37o,150,0.68745559454,0.0190712343901,0.293473154306
T8s,58,36o,151,0.671700537205,0.0189966261387,0.309302836657
T8s,58,35o,152,0.657678186893,0.0193312633783,0.32299053669
T8s,58,34o,153,0.658092081547,0.0193930231035,0.322514861822
T8s,58,33o,154,0.517048001289,0.0144203361124,0.468531668186
T8s,58,32s,155,0.642870247364,0.0190652478486,0.338064521551
T8s,58,2Ao,156,0.471924245358,0.00497779622674,0.523097991943
T8s,58,2Ko,157,0.474066972733,0.00729879178107,0.518634259701
T8s,58,2Qo,158,0.472335070372,0.00976257678121,0.517902314663
T8s,58,2Jo,159,0.470603197813,0.0137490192428,0.515647768974
T8s,58,2To,160,0.595670878887,0.199135586619,0.205193504691
T8s,58,29o,161,0.674679875374,0.0197005029768,0.30561965704
T8s,58,28o,162,0.718579590321,0.0762286782265,0.205191761255
T8s,58,27o,163,0.70049071312,0.0192192792892,0.280290037394
T8s,58,26o,164,0.684214353561,0.0191446729004,0.296640962362
T8s,58,25o,165,0.667407214642,0.01947931014,0.313113510609
T8s,58,24o,166,0.667821109295,0.0195410680026,0.312637835741
T8s,58,23o,167,0.672745347023,0.0197403617203,0.307514309883
